White-King-File,White-King-Rank,White-Rook-File,White-Rook-Rank,Black-King-File,Black-King-Rank,Moves-To-Win
3,1,6,7,1,1,2
3,3,4,6,2,1,2
4,3,5,6,4,1,2
4,1,1,2,8,1,4
4,2,7,1,2,1,4
3,1,3,2,7,1,5
4,1,6,7,2,1,5
4,2,6,3,7,1,5
4,3,3,4,2,1,5
4,3,7,5,8,1,5
3,2,2,3,1,3,6
4,1,3,6,6,1,6
4,2,2,4,8,2,6
4,2,7,3,8,7,6
4,3,5,2,2,2,6
4,4,1,2,5,1,6
3,1,2,1,1,4,7
3,2,4,5,1,3,7
4,1,7,3,8,8,7
4,2,8,4,6,1,7
4,3,5,7,6,1,7
4,3,8,8,1,3,7
4,4,7,5,1,1,7
2,2,3,3,4,2,8
3,1,5,1,8,1,8
3,2,2,6,1,3,8
3,2,7,3,8,6,8
3,3,6,4,4,1,8
4,1,6,2,1,2,8
4,2,3,4,1,7,8
4,3,1,5,7,2,8
4,3,3,5,8,2,8
4,3,5,7,6,2,8
4,4,1,5,8,4,8
4,4,4,6,4,2,8
4,4,6,5,4,1,8
4,4,8,1,3,1,8
2,1,3,1,7,1,9
2,2,1,3,4,2,9
2,2,7,8,8,3,9
3,1,6,4,8,2,9
3,2,3,8,2,4,9
3,2,6,8,8,1,9
3,3,3,4,6,1,9
4,1,1,4,6,2,9
4,2,3,7,1,6,9
4,3,1,6,8,3,9
4,3,3,7,1,5,9
4,3,5,5,7,7,9
4,3,8,4,2,8,9
4,4,2,2,8,6,9
4,4,3,6,8,7,9
4,4,5,3,8,8,9
4,4,8,2,8,7,9
1,1,8,3,3,1,10
2,1,3,8,1,6,10
2,2,1,4,7,3,10
2,2,8,4,4,3,10
3,1,6,4,8,8,10
3,2,3,1,1,5,10
3,2,5,8,1,5,10
3,3,1,5,8,3,10
3,3,4,5,7,4,10
4,1,1,6,1,1,10
4,1,7,7,1,8,10
4,2,3,7,2,5,10
4,2,6,2,7,8,10
4,3,1,1,2,3,10
4,3,4,7,2,4,10
4,3,5,7,1,4,10
4,3,7,5,6,2,10
4,4,2,2,5,2,10
4,4,5,3,6,3,10
4,4,8,8,8,4,10
1,1,7,4,8,7,11
2,1,3,5,8,3,11
2,1,6,4,8,3,11
